,symbol,CAGR,Volatility,Mean_Return,Sharpe_Ratio,pred_signal,mean_returns,lower_mean_returns,upper_mean_returns
22,CIPLA.NS,0.09725860014977172,0.014472023026878458,0.00047969567941977975,0.03314641488124053,0.046335923671722415,1.0463359236717225,1.0293240000000001,1.063662
23,LUPIN.NS,0.4175353187385127,0.016561465691122334,0.001549752439080325,0.09357580228608992,0.01992034912109375,1.0199203491210938,1.003002,1.0371549999999998
24,DIVISLAB.NS,0.23881967284488703,0.01711256932021936,0.0010131448512246618,0.05920471860573154,0.03939985036849976,1.0393998503684998,1.0307501435279847,1.048049557209015
25,APOLLOHOSP.NS,0.19666689509081792,0.013904049942915936,0.0008229021846936261,0.05918435190265494,,,,
26,FORTIS.NS,0.5475333238771007,0.01813525174854962,0.0019317545227188735,0.10651931109108354,,,,
27,RELIANCE.NS,0.08486672227305991,0.012762051653025616,0.0004108379077872722,0.03219215208942295,0.03251756429672241,1.0325175642967224,1.025823962688446,1.0392111659049987
28,ONGC.NS,0.31543674206085814,0.01763394611340518,0.0012670052012251436,0.07185035006214388,,,,
29,POWERGRID.NS,0.24654811005422594,0.01617162046655465,0.001023460493393651,0.06328744206619996,,,,
30,IOC.NS,0.40978458147942476,0.017906191453585154,0.0015511554686365048,0.08662676664980785,,,,
31,GAIL.NS,0.3073546085953993,0.01984710234489253,0.0012832091554460987,0.0646547356458975,,,,
32,BPCL.NS,0.3848840640917677,0.01811056033436425,0.0014825085652477588,0.08185879055518469,,,,
33,NTPC.NS,0.2866969070338168,0.01600983293151736,0.001149938054217185,0.0718269865236,-0.02285858988761902,0.977141410112381,0.970435231924057,0.9838475942611694
34,ADANIGREEN.NS,-0.1844643365855868,0.03414858152908,-0.00024062211545268635,-0.0070463282712864405,0.07745475769042968,1.0774547576904296,1.0603296279907226,1.0945798873901367
35,TATAPOWER.NS,0.22234516891485856,0.018094617738043446,0.000976704620477801,0.05397763216761998,,,,
36,HINDUNILVR.NS,0.006642839080072571,0.011651766370933968,9.462199706081939e-05,0.008120828554961388,0.025593632459640504,1.0255936324596404,1.021590346097946,1.0295969128608704
37,NESTLEIND.NS,0.08710481383052127,0.011710624645932293,0.00040640019246693303,0.03470354526375302,0.0928881287574768,1.0928881287574768,1.0836968541145324,1.102079403400421
38,BRITANNIA.NS,0.1737007517007041,0.012470004480870192,0.0007257864806735008,0.05820258379112092,0.09583557844161987,1.0958355784416198,1.0862716555595398,1.1053995013237
39,DABUR.NS,-0.03125017984002598,0.01294848842832454,-4.4646479692032365e-05,-0.0034480070735028153,0.03049280047416687,1.030492800474167,1.0193240821361542,1.0416615188121796
40,GODREJCP.NS,0.1167079082484972,0.014993097835369954,0.0005586908317457138,0.03726320189999134,0.04180980920791626,1.0418098092079162,1.0342592120170593,1.0493604123592377
41,ITC.NS,0.10139002517989115,0.011317821733430334,0.00045486857540457634,0.040190470049638216,,,,
42,MARICO.NS,0.12704657818229426,0.014101920019348384,0.000582899995378566,0.04133479657938809,,,,
43,MARUTI.NS,0.204814207423895,0.012532661486958866,0.0008321037210026402,0.06639481341361561,0.26936047077178954,1.2693604707717896,1.235656,1.3040699999999998
44,TATAMOTORS.NS,,0.022974103021507767,0.00032892309903361807,0.014317124752408775,-0.0036429524421691894,0.9963570475578308,0.978501,1.0145689999999998
45,HEROMOTOCO.NS,0.32006194726859194,0.015447329815545578,0.0012428373180527425,0.08045644994269498,0.1579647183418274,1.1579647183418273,1.149537456035614,1.1663919806480407
46,EICHERMOT.NS,0.23492093297169925,0.015252273152350738,0.0009698344062901187,0.0635862206638126,,,,
47,BOSCHLTD.NS,0.3343126152582976,0.014084188096747266,0.0012667166472076054,0.08993891863032934,0.019886142015457152,1.0198861420154572,1.0107688009738922,1.0290034890174866
48,BAJAJ-AUTO.NS,0.37112933899880907,0.015527311381760323,0.001398962392868013,0.09009688531855882,,,,
49,TATASTEEL.NS,0.2471456019414302,0.017102342483896877,0.0010405305120335933,0.060841403042497244,,,,
50,JSWSTEEL.NS,0.21979949053041725,0.015015394077441277,0.0009170392585680655,0.06107327279180775,,,,
51,HINDALCO.NS,0.28661910285784087,0.018429512296754453,0.001191119876121362,0.06463111215000113,,,,
52,BHARTIARTL.NS,0.35960343071383405,0.012765945413954004,0.0013251687215187385,0.1038049810294695,,,,
53,IDEA.NS,0.00696246034880299,0.03535119743229655,0.000645565601528089,0.01826149178580033,,,,
54,LT.NS,0.27003394540863956,0.01471489576809932,0.001076745309127658,0.07317383188414782,,,,
55,ADANIENT.NS,-0.09451426578575817,0.034184423140269565,0.00020443211457343366,0.005980271006317224,0.13167954683303834,1.1316795468330383,1.0885099999999999,1.176763
56,ULTRACEMCO.NS,0.21831012165269237,0.013302043979530082,0.000887426476936256,0.06671354254292625,,,,
57,SHREECEM.NS,0.07980763761018883,0.014266398701828687,0.00041241976589443405,0.02890847049168544,,,,
